hogar,mean,median,min,max,std,p25,p50,p75
ABLD,0.21574514729390273,0.113,0.0,2.123,0.24008782631560832,0.07,0.113,0.248
AJVG,0.24329744233843342,0.086,0.0,3.691,0.3812568835513727,0.053,0.086,0.23075
ATF,0.13911041333637816,0.109,0.0,2.233,0.14400634725453976,0.07,0.109,0.143
FJAG,0.4251812285910013,0.287,0.0210999999999472,4.491,0.4812321682604345,0.181,0.287,0.465
FMB,0.2152602192281343,0.126,0.0,3.138,0.2706058893095964,0.053,0.126,0.252
GPC,0.17000353962091802,0.1,0.0,2.236,0.20225755971661036,0.066,0.1,0.175
JACL,0.1529753368348938,0.103,0.0,1.584,0.19396682448876706,0.066,0.103,0.144
JALG,0.2863812514272665,0.189,0.0,2.34,0.2566680863807287,0.125,0.189,0.355
JLG,0.15768531628225624,0.092,0.0,2.256,0.1925881792201753,0.055,0.092,0.16
JMM,0.27946369034026036,0.195,0.0,5.359,0.3466549484727132,0.125,0.195,0.297
LFZA,0.15558049783055494,0.102,0.0,2.596,0.19437184800331453,0.074,0.102,0.147
MANA,0.2927605617720941,0.18,0.0,2.551,0.3323557166035082,0.113,0.18,0.324
MBGV,0.19961794930349394,0.109,0.0,1.881,0.21183203264796635,0.078,0.109,0.22275
MTTA,0.3216152089518155,0.228,0.0,3.446,0.3041636545494973,0.129,0.228,0.38
PAA,0.30978807947019865,0.144,0.0,3.853,0.38797847268831187,0.069,0.144,0.404
RFM,0.1329153916419274,0.104,0.0,1.754,0.10708513127564838,0.084,0.104,0.136
RTF,0.3151961635076501,0.185,0.0,2.986,0.31365593937178504,0.107,0.185,0.39875000000000005
