hogar,cluster
ABLD_Consumos_2023-02_2025-06,0
AJVG_Consumos_2023-01_2024-06,4
ATF_Consumos_2024-03_2024-06,0
FJAG_Consumos_2023-01_2024-12,3
FMB_Consumos_2023-03_2025-06,0
GPC_Consumos_2023-01_2024-06,0
JACL_Consumos_2023-01_2024-06,0
JALG_Consumos_2023-01_2024-06,1
JLG_Consumos_2023-01_2024-06,0
JMM_Consumos_2023-01_2024-06,1
LFZA_Consumos_2023-01_2024-06,0
MANA_Consumos_2023-01_2024-06,1
MBGV_Consumos_2023-01_2024-06,0
MTTA_Consumos_2023-02_2025-06,2
PAA_Consumos_2023-01_2024-06,1
RFM_Consumos_2023-01_2024-06,0
RTF_Consumos_2023-01_2024-06,1
