hogar,cluster
ABLD_Consumos_2023-02_2025-06,1
AJVG_Consumos_2023-01_2024-06,1
ATF_Consumos_2024-03_2024-06,2
FJAG_Consumos_2023-01_2024-12,3
FMB_Consumos_2023-03_2025-06,1
GPC_Consumos_2023-01_2024-06,1
JACL_Consumos_2023-01_2024-06,2
JALG_Consumos_2023-01_2024-06,0
JLG_Consumos_2023-01_2024-06,2
JMM_Consumos_2023-01_2024-06,0
LFZA_Consumos_2023-01_2024-06,1
MANA_Consumos_2023-01_2024-06,0
MBGV_Consumos_2023-01_2024-06,1
MTTA_Consumos_2023-02_2025-06,4
PAA_Consumos_2023-01_2024-06,1
RFM_Consumos_2023-01_2024-06,2
RTF_Consumos_2023-01_2024-06,3
