date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;cluster_k2_2024_05
2024-05-03;6:00;0.118;Real;;;;0
2024-05-03;7:00;0.128;Real;;;;0
2024-05-03;8:00;0.078;Real;;;;0
2024-05-03;9:00;0.074;Real;;;;0
2024-05-03;10:00;0.122;Real;;;;0
2024-05-03;11:00;0.167;Real;;;;0
2024-05-03;12:00;0.23;Real;;;;0
2024-05-03;13:00;0.493;Real;;;;0
2024-05-03;14:00;0.333;Real;;;;0
2024-05-03;15:00;0.214;Real;;;;0
2024-05-03;16:00;0.137;Real;;;;0
2024-05-03;17:00;0.088;Real;;;;0
2024-05-03;18:00;0.087;Real;;;;0
2024-05-03;19:00;0.088;Real;;;;0
2024-05-03;20:00;0.127;Real;;;;0
2024-05-03;21:00;0.173;Real;;;;0
2024-05-03;22:00;0.209;Real;;;;0
2024-05-03;23:00;0.152;Real;;;;0
2024-05-03;24:00:00;0.095;Real;;;;0
2024-05-04;1:00;0.098;Real;;;;0
2024-05-04;2:00;0.091;Real;;;;0
2024-05-04;3:00;0.098;Real;;;;0
2024-05-04;4:00;0.153;Real;;;;0
2024-05-04;5:00;0.146;Real;;;;0
2024-05-04;6:00;0.095;Real;;;;0
2024-05-04;7:00;0.09;Real;;;;0
2024-05-04;8:00;0.091;Real;;;;0
2024-05-04;9:00;0.103;Real;;;;0
2024-05-04;10:00;0.153;Real;;;;0
2024-05-04;11:00;0.23;Real;;;;0
2024-05-04;12:00;0.511;Real;;;;0
2024-05-04;13:00;0.598;Real;;;;0
2024-05-04;14:00;0.764;Real;;;;0
2024-05-04;15:00;0.479;Real;;;;0
2024-05-04;16:00;0.278;Real;;;;0
2024-05-04;17:00;0.181;Real;;;;0
2024-05-04;18:00;0.138;Real;;;;0
2024-05-04;19:00;0.095;Real;;;;0
2024-05-04;20:00;0.065;Real;;;;0
2024-05-04;21:00;0.065;Real;;;;0
2024-05-04;22:00;0.126;Real;;;;0
2024-05-04;23:00;0.235;Real;;;;0
2024-05-04;24:00:00;0.148;Real;;;;0
2024-05-05;1:00;0.114;Real;;;;0
2024-05-05;2:00;0.068;Real;;;;0
2024-05-05;3:00;0.069;Real;;;;0
2024-05-05;4:00;0.068;Real;;;;0
2024-05-05;5:00;0.072;Real;;;;0
2024-05-05;6:00;0.089;Real;;;;0
2024-05-05;7:00;0.132;Real;;;;0
2024-05-05;8:00;0.129;Real;;;;0
2024-05-05;9:00;0.074;Real;;;;0
2024-05-05;10:00;0.064;Real;;;;0
2024-05-05;11:00;0.063;Real;;;;0
2024-05-05;12:00;0.07;Real;;;;0
2024-05-05;13:00;0.131;Real;;;;0
2024-05-05;14:00;0.125;Real;;;;0
2024-05-05;15:00;0.107;Real;;;;0
2024-05-05;16:00;0.122;Real;;;;0
2024-05-05;17:00;0.082;Real;;;;0
2024-05-05;18:00;0.126;Real;;;;0
2024-05-05;19:00;0.115;Real;;;;0
2024-05-05;20:00;0.159;Real;;;;0
2024-05-05;21:00;0.187;Real;;;;0
2024-05-05;22:00;0.142;Real;;;;0
2024-05-05;23:00;0.192;Real;;;;0
2024-05-05;24:00:00;0.08;Real;;;;0
2024-05-06;1:00;0.073;Real;;;;0
2024-05-06;2:00;0.077;Real;;;;0
2024-05-06;3:00;0.133;Real;;;;0
2024-05-06;4:00;0.13;Real;;;;0
2024-05-06;5:00;0.095;Real;;;;0
2024-05-06;6:00;0.068;Real;;;;0
2024-05-06;7:00;0.069;Real;;;;0
2024-05-06;8:00;0.064;Real;;;;0
2024-05-06;9:00;0.068;Real;;;;0
2024-05-06;10:00;0.865;Real;;;;0
2024-05-06;11:00;0.366;Real;;;;0
2024-05-06;12:00;0.229;Real;;;;0
2024-05-06;13:00;0.312;Real;;;;0
2024-05-06;14:00;0.196;Real;;;;0
2024-05-06;15:00;0.055;Real;;;;0
2024-05-06;16:00;0.052;Real;;;;0
2024-05-06;17:00;0.051;Real;;;;0
2024-05-06;18:00;0.09;Real;;;;0
2024-05-06;19:00;0.113;Real;;;;0
2024-05-06;20:00;0.134;Real;;;;0
2024-05-06;21:00;0.225;Real;;;;0
2024-05-06;22:00;0.235;Real;;;;0
2024-05-06;23:00;0.114;Real;;;;0
2024-05-06;24:00:00;0.069;Real;;;;0
2024-05-07;1:00;0.069;Real;;;;0
2024-05-07;2:00;0.069;Real;;;;0
2024-05-07;3:00;0.069;Real;;;;0
2024-05-07;4:00;0.068;Real;;;;0
2024-05-07;5:00;0.114;Real;;;;0
2024-05-07;6:00;0.129;Real;;;;0
2024-05-07;7:00;0.104;Real;;;;0
2024-05-07;8:00;0.064;Real;;;;0
2024-05-07;9:00;0.154;Real;;;;0
2024-05-07;10:00;0.149;Real;;;;0
2024-05-07;11:00;0.23;Real;;;;0
2024-05-07;12:00;0.228;Real;;;;0
2024-05-07;13:00;0.201;Real;;;;0
2024-05-07;14:00;0.148;Real;;;;0
2024-05-07;15:00;0.351;Real;;;;0
2024-05-07;16:00;0.123;Real;;;;0
2024-05-07;17:00;0.109;Real;;;;0
2024-05-07;18:00;0.122;Real;;;;0
2024-05-07;19:00;0.122;Real;;;;0
2024-05-07;20:00;0.125;Real;;;;0
2024-05-07;21:00;0.125;Real;;;;0
2024-05-07;22:00;0.087;Real;;;;0
2024-05-07;23:00;0.062;Real;;;;0
2024-05-07;24:00:00;0.055;Real;;;;0
2024-05-08;1:00;0.101;Real;;;;0
2024-05-08;2:00;0.116;Real;;;;0
2024-05-08;3:00;0.079;Real;;;;0
2024-05-08;4:00;0.055;Real;;;;0
2024-05-08;5:00;0.055;Real;;;;0
2024-05-08;6:00;0.055;Real;;;;0
2024-05-08;7:00;0.055;Real;;;;0
2024-05-08;8:00;0.133;Real;;;;0
2024-05-08;9:00;0.137;Real;;;;0
2024-05-08;10:00;0.11;Real;;;;0
2024-05-08;11:00;0.108;Real;;;;0
2024-05-08;12:00;0.119;Real;;;;0
2024-05-08;13:00;0.585;Real;;;;0
2024-05-08;14:00;0.361;Real;;;;0
2024-05-08;15:00;0.412;Real;;;;0
2024-05-08;16:00;0.211;Real;;;;0
2024-05-08;17:00;0.135;Real;;;;0
2024-05-08;18:00;0.15;Real;;;;0
2024-05-08;19:00;0.432;Real;;;;0
2024-05-08;20:00;0.261;Real;;;;0
2024-05-08;21:00;0.221;Real;;;;0
2024-05-08;22:00;0.122;Real;;;;0
2024-05-08;23:00;0.212;Real;;;;0
2024-05-08;24:00:00;0.211;Real;;;;0
2024-05-09;1:00;0.082;Real;;;;0
2024-05-09;2:00;0.071;Real;;;;0
2024-05-09;3:00;0.087;Real;;;;0
2024-05-09;4:00;0.131;Real;;;;0
2024-05-09;5:00;0.107;Real;;;;0
2024-05-09;6:00;0.07;Real;;;;0
2024-05-09;7:00;0.069;Real;;;;0
2024-05-09;8:00;0.069;Real;;;;0
2024-05-09;9:00;0.404;Real;;;;0
2024-05-09;10:00;0.231;Real;;;;0
2024-05-09;11:00;0.158;Real;;;;0
2024-05-09;12:00;0.122;Real;;;;0
2024-05-09;13:00;0.086;Real;;;;0
2024-05-09;14:00;0.063;Real;;;;0
2024-05-09;15:00;0.062;Real;;;;0
2024-05-09;16:00;0.063;Real;;;;0
2024-05-09;17:00;0.062;Real;;;;0
2024-05-09;18:00;0.113;Real;;;;0
2024-05-09;19:00;0.122;Real;;;;0
2024-05-09;20:00;0.103;Real;;;;0
2024-05-09;21:00;0.062;Real;;;;0
2024-05-09;22:00;0.062;Real;;;;0
2024-05-09;23:00;0.063;Real;;;;0
2024-05-09;24:00:00;0.062;Real;;;;0
2024-05-10;1:00;0.114;Real;;;;0
2024-05-10;2:00;0.123;Real;;;;0
2024-05-10;3:00;0.094;Real;;;;0
2024-05-10;4:00;0.062;Real;;;;0
2024-05-10;5:00;0.063;Real;;;;0
2024-05-10;6:00;0.062;Real;;;;0
2024-05-10;7:00;0.063;Real;;;;0
2024-05-10;8:00;0.127;Real;;;;0
2024-05-10;9:00;0.124;Real;;;;0
2024-05-10;10:00;0.082;Real;;;;0
2024-05-10;11:00;0.064;Real;;;;0
2024-05-10;12:00;0.065;Real;;;;0
2024-05-10;13:00;0.066;Real;;;;0
2024-05-10;14:00;0.083;Real;;;;0
2024-05-10;15:00;0.127;Real;;;;0
2024-05-10;16:00;0.122;Real;;;;0
2024-05-10;17:00;0.064;Real;;;;0
2024-05-10;18:00;0.062;Real;;;;0
2024-05-10;19:00;0.062;Real;;;;0
2024-05-10;20:00;0.062;Real;;;;0
2024-05-10;21:00;0.116;Real;;;;0
2024-05-10;22:00;0.123;Real;;;;0
2024-05-10;23:00;0.099;Real;;;;0
2024-05-10;24:00:00;0.062;Real;;;;0
2024-05-11;1:00;0.062;Real;;;;0
2024-05-11;2:00;0.062;Real;;;;0
2024-05-11;3:00;0.062;Real;;;;0
2024-05-11;4:00;0.128;Real;;;;0
2024-05-11;5:00;0.124;Real;;;;0
2024-05-11;6:00;0.078;Real;;;;0
2024-05-11;7:00;0.063;Real;;;;0
2024-05-11;8:00;0.062;Real;;;;0
2024-05-11;9:00;0.062;Real;;;;0
2024-05-11;10:00;0.084;Real;;;;0
2024-05-11;11:00;0.126;Real;;;;0
2024-05-11;12:00;0.123;Real;;;;0
2024-05-11;13:00;0.063;Real;;;;0
2024-05-11;14:00;0.062;Real;;;;0
2024-05-11;15:00;0.062;Real;;;;0
2024-05-11;16:00;0.062;Real;;;;0
2024-05-11;17:00;0.158;Real;;;;0
2024-05-11;18:00;0.142;Real;;;;0
2024-05-11;19:00;0.079;Real;;;;0
2024-05-11;20:00;0.062;Real;;;;0
2024-05-11;21:00;0.062;Real;;;;0
2024-05-11;22:00;0.277;Real;;;;0
2024-05-11;23:00;0.225;Real;;;;0
2024-05-11;24:00:00;0.145;Real;;;;0
2024-05-12;1:00;0.074;Real;;;;0
2024-05-12;2:00;0.069;Real;;;;0
2024-05-12;3:00;0.069;Real;;;;0
2024-05-12;4:00;0.113;Real;;;;0
2024-05-12;5:00;0.128;Real;;;;0
2024-05-12;6:00;0.075;Real;;;;0
2024-05-12;7:00;0.068;Real;;;;0
2024-05-12;8:00;0.07;Real;;;;0
2024-05-12;9:00;0.115;Real;;;;0
2024-05-12;10:00;0.128;Real;;;;0
2024-05-12;11:00;0.099;Real;;;;0
2024-05-12;12:00;0.065;Real;;;;0
2024-05-12;13:00;0.066;Real;;;;0
2024-05-12;14:00;0.086;Real;;;;0
2024-05-12;15:00;0.127;Real;;;;0
2024-05-12;16:00;0.097;Real;;;;0
2024-05-12;17:00;0.064;Real;;;;0
2024-05-12;18:00;0.065;Real;;;;0
2024-05-12;19:00;0.089;Real;;;;0
2024-05-12;20:00;0.127;Real;;;;0
2024-05-12;21:00;0.126;Real;;;;0
2024-05-12;22:00;0.123;Real;;;;0
2024-05-12;23:00;0.124;Real;;;;0
2024-05-12;24:00:00;0.135;Real;;;;0
2024-05-13;1:00;0.118;Real;;;;0
2024-05-13;2:00;0.067;Real;;;;0
2024-05-13;3:00;0.07;Real;;;;0
2024-05-13;4:00;0.067;Real;;;;0
2024-05-13;5:00;0.104;Real;;;;0
2024-05-13;6:00;0.129;Real;;;;0
2024-05-13;7:00;0.072;Real;;;;0
2024-05-13;8:00;0.07;Real;;;;0
2024-05-13;9:00;0.648;Real;;;;0
2024-05-13;10:00;0.411;Real;;;;0
2024-05-13;11:00;0.289;Real;;;;0
2024-05-13;12:00;0.297;Real;;;;0
2024-05-13;13:00;0.19;Real;;;;0
2024-05-13;14:00;0.252;Real;;;;0
2024-05-13;15:00;0.199;Real;;;;0
2024-05-13;16:00;0.217;Real;;;;0
2024-05-13;17:00;0.181;Real;;;;0
2024-05-13;18:00;0.151;Real;;;;0
2024-05-13;19:00;0.128;Real;;;;0
2024-05-13;20:00;0.094;Real;;;;0
2024-05-13;21:00;0.103;Real;;;;0
2024-05-13;22:00;0.24;Real;;;;0
2024-05-13;23:00;0.228;Real;;;;0
2024-05-13;24:00:00;0.161;Real;;;;0
2024-05-14;1:00;0.126;Real;;;;0
2024-05-14;2:00;0.068;Real;;;;0
2024-05-14;3:00;0.066;Real;;;;0
2024-05-14;4:00;0.067;Real;;;;0
2024-05-14;5:00;0.07;Real;;;;0
2024-05-14;6:00;0.097;Real;;;;0
2024-05-14;7:00;0.125;Real;;;;0
2024-05-14;8:00;0.121;Real;;;;0
2024-05-14;9:00;0.124;Real;;;;0
2024-05-14;10:00;0.142;Real;;;;0
2024-05-14;11:00;0.173;Real;;;;0
2024-05-14;12:00;0.162;Real;;;;0
2024-05-14;13:00;0.16;Real;;;;0
2024-05-14;14:00;0.222;Real;;;;0
2024-05-14;15:00;0.368;Real;;;;0
2024-05-14;16:00;0.216;Real;;;;0
2024-05-14;17:00;0.201;Real;;;;0
2024-05-14;18:00;0.155;Real;;;;0
2024-05-14;19:00;0.128;Real;;;;0
2024-05-14;20:00;0.085;Real;;;;0
2024-05-14;21:00;0.133;Real;;;;0
2024-05-14;22:00;0.142;Real;;;;0
2024-05-14;23:00;0.145;Real;;;;0
2024-05-14;24:00:00;0.093;Real;;;;0
2024-05-15;1:00;0.09;Real;;;;0
2024-05-15;2:00;0.089;Real;;;;0
2024-05-15;3:00;0.125;Real;;;;0
2024-05-15;4:00;0.15;Real;;;;0
2024-05-15;5:00;0.106;Real;;;;0
2024-05-15;6:00;0.089;Real;;;;0
2024-05-15;7:00;0.097;Real;;;;0
2024-05-15;8:00;0.092;Real;;;;0
2024-05-15;9:00;0.164;Real;;;;0
2024-05-15;10:00;0.199;Real;;;;0
2024-05-15;11:00;0.163;Real;;;;0
2024-05-15;12:00;0.501;Real;;;;0
2024-05-15;13:00;0.236;Real;;;;0
2024-05-15;14:00;0.226;Real;;;;0
2024-05-15;15:00;0.332;Real;;;;0
2024-05-15;16:00;0.249;Real;;;;0
2024-05-15;17:00;0.146;Real;;;;0
2024-05-15;18:00;0.132;Real;;;;0
2024-05-15;19:00;0.119;Real;;;;0
2024-05-15;20:00;0.138;Real;;;;0
2024-05-15;21:00;0.199;Real;;;;0
2024-05-15;22:00;0.146;Real;;;;0
2024-05-15;23:00;0.121;Real;;;;0
2024-05-15;24:00:00;0.137;Real;;;;0
2024-05-16;1:00;0.138;Real;;;;0
2024-05-16;2:00;0.106;Real;;;;0
2024-05-16;3:00;0.069;Real;;;;0
2024-05-16;4:00;0.068;Real;;;;0
2024-05-16;5:00;0.068;Real;;;;0
2024-05-16;6:00;0.119;Real;;;;0
2024-05-16;7:00;0.128;Real;;;;0
2024-05-16;8:00;0.066;Real;;;;0
2024-05-16;9:00;0.074;Real;;;;0
2024-05-16;10:00;0.141;Real;;;;0
2024-05-16;11:00;0.182;Real;;;;0
2024-05-16;12:00;0.2;Real;;;;0
2024-05-16;13:00;0.187;Real;;;;0
2024-05-16;14:00;0.21;Real;;;;0
2024-05-16;15:00;0.32;Real;;;;0
2024-05-16;16:00;0.187;Real;;;;0
2024-05-16;17:00;0.133;Real;;;;0
2024-05-16;18:00;0.065;Real;;;;0
2024-05-16;19:00;0.064;Real;;;;0
2024-05-16;20:00;0.13;Real;;;;0
2024-05-16;21:00;0.146;Real;;;;0
2024-05-16;22:00;0.115;Real;;;;0
2024-05-16;23:00;0.083;Real;;;;0
2024-05-16;24:00:00;0.093;Real;;;;0
2024-05-17;1:00;0.128;Real;;;;0
2024-05-17;2:00;0.149;Real;;;;0
2024-05-17;3:00;0.108;Real;;;;0
2024-05-17;4:00;0.089;Real;;;;0
2024-05-17;5:00;0.088;Real;;;;0
2024-05-17;6:00;0.109;Real;;;;0
2024-05-17;7:00;0.153;Real;;;;0
2024-05-17;8:00;0.118;Real;;;;0
2024-05-17;9:00;0.084;Real;;;;0
2024-05-17;10:00;0.122;Real;;;;0
2024-05-17;11:00;0.156;Real;;;;0
2024-05-17;12:00;0.218;Real;;;;0
2024-05-17;13:00;0.173;Real;;;;0
2024-05-17;14:00;0.614;Real;;;;0
2024-05-17;15:00;0.484;Real;;;;0
2024-05-17;16:00;0.232;Real;;;;0
2024-05-17;17:00;0.162;Real;;;;0
2024-05-17;18:00;0.143;Real;;;;0
2024-05-17;19:00;0.067;Real;;;;0
2024-05-17;20:00;0.069;Real;;;;0
2024-05-17;21:00;0.135;Real;;;;0
2024-05-17;22:00;0.211;Real;;;;0
2024-05-17;23:00;0.149;Real;;;;0
2024-05-17;24:00:00;0.092;Real;;;;0
2024-05-18;1:00;0.068;Real;;;;0
2024-05-18;2:00;0.069;Real;;;;0
2024-05-18;3:00;0.064;Real;;;;0
2024-05-18;4:00;0.126;Real;;;;0
2024-05-18;5:00;0.128;Real;;;;0
2024-05-18;6:00;0.124;Real;;;;0
2024-05-18;7:00;0.067;Real;;;;0
2024-05-18;8:00;0.065;Real;;;;0
2024-05-18;9:00;0.071;Real;;;;0
2024-05-18;10:00;0.133;Real;;;;0
2024-05-18;11:00;0.184;Real;;;;0
2024-05-18;12:00;0.204;Real;;;;0
2024-05-18;13:00;1.176;Real;;;;0
2024-05-18;14:00;0.201;Real;;;;0
2024-05-18;15:00;0.64;Real;;;;0
2024-05-18;16:00;0.411;Real;;;;0
2024-05-18;17:00;0.209;Real;;;;0
2024-05-18;18:00;0.223;Real;;;;0
2024-05-18;19:00;0.125;Real;;;;0
2024-05-18;20:00;0.124;Real;;;;0
2024-05-18;21:00;0.322;Real;;;;0
2024-05-18;22:00;0.22;Real;;;;0
2024-05-18;23:00;0.147;Real;;;;0
2024-05-18;24:00:00;0.066;Real;;;;0
2024-05-19;1:00;0.058;Real;;;;0
2024-05-19;2:00;0.056;Real;;;;0
2024-05-19;3:00;0.066;Real;;;;0
2024-05-19;4:00;0.12;Real;;;;0
2024-05-19;5:00;0.106;Real;;;;0
2024-05-19;6:00;0.059;Real;;;;0
2024-05-19;7:00;0.057;Real;;;;0
2024-05-19;8:00;0.058;Real;;;;0
2024-05-19;9:00;0.073;Real;;;;0
2024-05-19;10:00;0.282;Real;;;;0
2024-05-19;11:00;0.412;Real;;;;0
2024-05-19;12:00;0.536;Real;;;;0
2024-05-19;13:00;0.134;Real;;;;0
2024-05-19;14:00;0.387;Real;;;;0
2024-05-19;15:00;0.22;Real;;;;0
2024-05-19;16:00;0.124;Real;;;;0
2024-05-19;17:00;0.134;Real;;;;0
2024-05-19;18:00;0.074;Real;;;;0
2024-05-19;19:00;0.103;Real;;;;0
2024-05-19;20:00;0.156;Real;;;;0
2024-05-19;21:00;0.266;Real;;;;0
2024-05-19;22:00;0.178;Real;;;;0
2024-05-19;23:00;0.104;Real;;;;0
2024-05-19;24:00:00;0.075;Real;;;;0
2024-05-20;1:00;0.073;Real;;;;0
2024-05-20;2:00;0.072;Real;;;;0
2024-05-20;3:00;0.098;Real;;;;0
2024-05-20;4:00;0.133;Real;;;;0
2024-05-20;5:00;0.101;Real;;;;0
2024-05-20;6:00;0.072;Real;;;;0
2024-05-20;7:00;0.077;Real;;;;0
2024-05-20;8:00;0.077;Real;;;;0
2024-05-20;9:00;0.191;Real;;;;0
2024-05-20;10:00;0.198;Real;;;;0
2024-05-20;11:00;0.171;Real;;;;0
2024-05-20;12:00;0.134;Real;;;;0
2024-05-20;13:00;0.27;Real;;;;0
2024-05-20;14:00;0.176;Real;;;;0
2024-05-20;15:00;0.371;Real;;;;0
2024-05-20;16:00;0.155;Real;;;;0
2024-05-20;17:00;0.151;Real;;;;0
2024-05-20;18:00;0.114;Real;;;;0
2024-05-20;19:00;0.087;Real;;;;0
2024-05-20;20:00;0.086;Real;;;;0
2024-05-20;21:00;0.099;Real;;;;0
2024-05-20;22:00;0.206;Real;;;;0
2024-05-20;23:00;0.177;Real;;;;0
2024-05-20;24:00:00;0.117;Real;;;;0
2024-05-21;1:00;0.082;Real;;;;0
2024-05-21;2:00;0.077;Real;;;;0
2024-05-21;3:00;0.076;Real;;;;0
2024-05-21;4:00;0.122;Real;;;;0
2024-05-21;5:00;0.137;Real;;;;0
2024-05-21;6:00;0.084;Real;;;;0
2024-05-21;7:00;0.077;Real;;;;0
2024-05-21;8:00;0.078;Real;;;;0
2024-05-21;9:00;0.106;Real;;;;0
2024-05-21;10:00;0.199;Real;;;;0
2024-05-21;11:00;0.216;Real;;;;0
2024-05-21;12:00;0.164;Real;;;;0
2024-05-21;13:00;0.136;Real;;;;0
2024-05-21;14:00;0.509;Real;;;;0
2024-05-21;15:00;0.274;Real;;;;0
2024-05-21;16:00;0.189;Real;;;;0
2024-05-21;17:00;0.21;Real;;;;0
2024-05-21;18:00;0.128;Real;;;;0
2024-05-21;19:00;0.091;Real;;;;0
2024-05-21;20:00;0.067;Real;;;;0
2024-05-21;21:00;0.087;Real;;;;0
2024-05-21;22:00;0.158;Real;;;;0
2024-05-21;23:00;0.135;Real;;;;0
2024-05-21;24:00:00;0.122;Real;;;;0
2024-05-22;1:00;0.068;Real;;;;0
2024-05-22;2:00;0.068;Real;;;;0
2024-05-22;3:00;0.067;Real;;;;0
2024-05-22;4:00;0.068;Real;;;;0
2024-05-22;5:00;0.13;Real;;;;0
2024-05-22;6:00;0.128;Real;;;;0
2024-05-22;7:00;0.079;Real;;;;0
2024-05-22;8:00;0.068;Real;;;;0
2024-05-22;9:00;0.076;Real;;;;0
2024-05-22;10:00;0.133;Real;;;;0
2024-05-22;11:00;0.21;Real;;;;0
2024-05-22;12:00;0.216;Real;;;;0
2024-05-22;13:00;0.183;Real;;;;0
2024-05-22;14:00;0.602;Real;;;;0
2024-05-22;15:00;0.319;Real;;;;0
2024-05-22;16:00;0.255;Real;;;;0
2024-05-22;17:00;0.203;Real;;;;0
2024-05-22;18:00;0.118;Real;;;;0
2024-05-22;19:00;0.051;Real;;;;0
2024-05-22;20:00;0.147;Real;;;;0
2024-05-22;21:00;0.172;Real;;;;0
2024-05-22;22:00;0.124;Real;;;;0
2024-05-22;23:00;0.124;Real;;;;0
2024-05-22;24:00:00;0.075;Real;;;;0
2024-05-23;1:00;0.071;Real;;;;0
2024-05-23;2:00;0.069;Real;;;;0
2024-05-23;3:00;0.097;Real;;;;0
2024-05-23;4:00;0.129;Real;;;;0
2024-05-23;5:00;0.086;Real;;;;0
2024-05-23;6:00;0.069;Real;;;;0
2024-05-23;7:00;0.073;Real;;;;0
2024-05-23;8:00;0.092;Real;;;;0
2024-05-23;9:00;0.137;Real;;;;0
2024-05-23;10:00;0.848;Real;;;;0
2024-05-23;11:00;0.225;Real;;;;0
2024-05-23;12:00;0.25;Real;;;;0
2024-05-23;13:00;0.261;Real;;;;0
2024-05-23;14:00;0.709;Real;;;;0
2024-05-23;15:00;0.438;Real;;;;0
2024-05-23;16:00;0.138;Real;;;;0
2024-05-23;17:00;0.114;Real;;;;0
2024-05-23;18:00;0.092;Real;;;;0
2024-05-23;19:00;0.121;Real;;;;0
2024-05-23;20:00;0.118;Real;;;;0
2024-05-23;21:00;0.13;Real;;;;0
2024-05-23;22:00;0.18;Real;;;;0
2024-05-23;23:00;0.141;Real;;;;0
2024-05-23;24:00:00;0.115;Real;;;;0
2024-05-24;1:00;0.105;Real;;;;0
2024-05-24;2:00;0.055;Real;;;;0
2024-05-24;3:00;0.057;Real;;;;0
2024-05-24;4:00;0.055;Real;;;;0
2024-05-24;5:00;0.086;Real;;;;0
2024-05-24;6:00;0.116;Real;;;;0
2024-05-24;7:00;0.09;Real;;;;0
2024-05-24;8:00;0.071;Real;;;;0
2024-05-24;9:00;0.065;Real;;;;0
2024-05-24;10:00;0.149;Real;;;;0
2024-05-24;11:00;0.24;Real;;;;0
2024-05-24;12:00;0.219;Real;;;;0
2024-05-24;13:00;0.362;Real;;;;0
2024-05-24;14:00;0.333;Real;;;;0
2024-05-24;15:00;0.241;Real;;;;0
2024-05-24;16:00;0.242;Real;;;;0
2024-05-24;17:00;0.223;Real;;;;0
2024-05-24;18:00;0.153;Real;;;;0
2024-05-24;19:00;0.197;Real;;;;0
2024-05-24;20:00;0.122;Real;;;;0
2024-05-24;21:00;0.2;Real;;;;0
2024-05-24;22:00;0.236;Real;;;;0
2024-05-24;23:00;0.293;Real;;;;0
2024-05-24;24:00:00;0.164;Real;;;;0
2024-05-25;1:00;0.132;Real;;;;0
2024-05-25;2:00;0.075;Real;;;;0
2024-05-25;3:00;0.077;Real;;;;0
2024-05-25;4:00;0.082;Real;;;;0
2024-05-25;5:00;0.077;Real;;;;0
2024-05-25;6:00;0.136;Real;;;;0
2024-05-25;7:00;0.132;Real;;;;0
2024-05-25;8:00;0.093;Real;;;;0
2024-05-25;9:00;0.07;Real;;;;0
2024-05-25;10:00;0.106;Real;;;;0
2024-05-25;11:00;0.141;Real;;;;0
2024-05-25;12:00;0.144;Real;;;;0
2024-05-25;13:00;0.134;Real;;;;0
2024-05-25;14:00;0.187;Real;;;;0
2024-05-25;15:00;0.375;Real;;;;0
2024-05-25;16:00;0.168;Real;;;;0
2024-05-25;17:00;0.123;Real;;;;0
2024-05-25;18:00;0.148;Real;;;;0
2024-05-25;19:00;0.18;Real;;;;0
2024-05-25;20:00;0.13;Real;;;;0
2024-05-25;21:00;0.125;Real;;;;0
2024-05-25;22:00;0.088;Real;;;;0
2024-05-25;23:00;0.066;Real;;;;0
2024-05-25;24:00:00;0.067;Real;;;;0
