hour,0,1,2,3,4
0,0.14429416666666667,0.25252444444444444,0.2472888888888889,0.32761111111111113,0.2356222222222222
1,0.11427,0.1986222222222222,0.4738222222222222,0.18459444444444445,0.18592222222222224
2,0.08601861111111112,0.14680666666666667,0.5241,0.14263333333333333,0.14205555555555555
3,0.07807305555555555,0.12012666666666667,0.31512222222222225,0.14805555555555555,0.1431
4,0.07789194444444444,0.10525111111111111,0.3092333333333333,0.1338888888888889,0.1384
5,0.07673916666666666,0.10059333333333334,0.13072222222222224,0.11468333333333333,0.14666666666666667
6,0.07516777777777778,0.09637555555555556,0.1507666666666667,0.09657222222222223,0.14046666666666666
7,0.0827275,0.10447333333333333,0.17733333333333332,0.31861111111111107,0.25547777777777775
8,0.138665,0.2131333333333333,0.20584444444444444,0.8038055555555557,0.28977777777777775
9,0.17742055555555555,0.20195777777777776,0.20542222222222223,0.48710555555555557,0.24324444444444443
10,0.2072263888888889,0.26026444444444446,0.21004444444444445,0.2757833333333333,0.45776666666666666
11,0.18093777777777778,0.31005333333333335,0.28875555555555554,0.30851111111111107,0.5377
12,0.17420888888888889,0.2668688888888889,0.2618888888888889,0.3771777777777778,0.7193222222222223
13,0.1931225,0.26898,0.2940666666666667,0.3213166666666667,1.0678111111111113
14,0.25083527777777775,0.4020755555555556,0.3366111111111111,0.4973888888888889,0.9597666666666668
15,0.2892502777777778,0.46130666666666664,0.43738888888888894,0.4911444444444444,0.7593555555555556
16,0.22528666666666666,0.3583177777777778,0.26105555555555554,0.3600833333333333,0.6697888888888889
17,0.1936013888888889,0.29588222222222227,0.2288111111111111,0.3363555555555556,0.5609222222222222
18,0.18069833333333332,0.30898888888888887,0.24436666666666665,0.3377,0.5699
19,0.18427166666666667,0.33135777777777775,0.22897777777777778,0.42245,0.5738000000000001
20,0.22389805555555556,0.35341333333333336,0.20896666666666666,0.5354166666666667,0.6660444444444444
21,0.28665305555555554,0.4049533333333333,0.21500000000000002,0.7444222222222222,0.5127
22,0.23323666666666668,0.45199777777777783,0.27634444444444445,0.8239111111111111,0.4425666666666667
23,0.1769925,0.33693999999999996,0.4082555555555556,0.6371944444444444,0.4280777777777778
total_mean_consumption,4.051487222222222,6.351264444444444,6.64018888888889,9.226416666666665,10.846255555555558
