hour,0,1,2,3
0,0.11519116659159619,0.16247271062271063,0.47649374288964735,0.17310220994475137
1,0.09925960507541864,0.13402722953216376,0.3684994324631101,0.15536914600550963
2,0.09184085074773153,0.12031181619256019,0.295035107587769,0.15316483516483517
3,0.08720333041340002,0.11049798976608187,0.19854597048808173,0.15098898071625344
4,0.08497754445208378,0.10278088450292398,0.14788989784335982,0.15306611570247936
5,0.08576913278400211,0.12192470760233919,0.17923836549375707,0.1856969696969697
6,0.1151424184811613,0.21729605263157895,0.2117128263337117,0.2549573002754821
7,0.14817795695208866,0.290702850877193,0.22887514188422248,0.27962292011019235
8,0.16471560313063038,0.2517392178362573,0.24059364358683313,0.27074060606060263
9,0.169127840216058,0.2643812134502924,0.26932122587968216,0.3175222038567429
10,0.1715555204416477,0.2776940789473685,0.3166821793416572,0.4097733333333242
11,0.17509880829293895,0.3093234649122807,0.3236345062429058,0.5925193388429648
12,0.20554637504578227,0.374873903508772,0.3674063564131669,0.6564371900826335
13,0.24257484486609876,0.4402759502923977,0.40835641316685584,0.5158872727272621
14,0.24248160269293795,0.40636769005847956,0.384416572077185,0.4689627548209285
15,0.21142981940262498,0.3237732090643275,0.3099171396140749,0.4712043034482694
16,0.1960673943616668,0.2999786184210526,0.2887139614074915,0.47629142068965047
17,0.18194479484828607,0.3019073464912281,0.3135017026106697,0.5731604413793077
18,0.1893477773407411,0.3135142543859649,0.3236095346197503,0.6471123862068956
19,0.22166663047232646,0.3704612573099415,0.2918297389330306,0.6230253241379303
20,0.2427539577396162,0.465233735380117,0.27425539160045403,0.484871724137931
21,0.21252433040812566,0.4469155701754386,0.38269012485811577,0.4294275862068965
22,0.1786242163886459,0.3333918128654971,0.3766004540295119,0.34284827586206895
23,0.1463375565049622,0.2284835345773875,0.39119659090909087,0.23149241379310345
total_mean_consumption,3.979359077650572,6.668329099404354,7.369016020274135,9.017245053202986
