hogar,cluster
ABLD_Consumos_2023-02_2025-06,3
AJVG_Consumos_2023-01_2024-06,3
FJAG_Consumos_2023-01_2024-12,0
FMB_Consumos_2023-03_2025-06,1
GPC_Consumos_2023-01_2024-06,3
JACL_Consumos_2023-01_2024-06,3
JALG_Consumos_2023-01_2024-06,1
JLG_Consumos_2023-01_2024-06,3
JMM_Consumos_2023-01_2024-06,0
LFZA_Consumos_2023-01_2024-06,3
MANA_Consumos_2023-01_2024-06,2
MBGV_Consumos_2023-01_2024-06,1
MTTA_Consumos_2023-02_2025-06,0
PAA_Consumos_2023-01_2024-06,3
RFM_Consumos_2023-01_2024-06,3
RTF_Consumos_2023-01_2024-06,1
