archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2024-05,Mayo,2024-04-29/2024-05-05,2024-05-06/2024-05-12,2024-05-13/2024-05-19,2024-05-20/2024-05-26,2024-05-27/2024-06-02
ABLD,0.20334408602150536,0.2189897516422441,0.048,1.377,0.076,0.106,0.222,151.28799999999998,0.2033440860215054,4.880258064516129,0.09864516129032258,0.08638709677419355,0.09206451612903226,0.11041935483870968,0.11229032258064515,0.10164516129032257,0.23058064516129034,0.207741935483871,0.1354516129032258,0.15461290322580645,0.18638709677419354,0.23296774193548386,0.18867741935483873,0.35738709677419356,0.3528709677419355,0.25529032258064516,0.19725806451612904,0.18693548387096773,0.27454838709677415,0.3919032258064516,0.3285806451612903,0.3041935483870968,0.17074193548387098,0.12267741935483871,3.058,2.678,2.854,3.423,3.481,3.151,7.148000000000001,6.44,4.199,4.793,5.778,7.2219999999999995,5.849,11.079,10.939,7.914,6.115,5.795,8.511,12.149,10.186,9.43,5.293,3.803,3.058,2.678,2.854,3.423,3.481,3.151,7.148000000000001,6.44,4.199,4.793,5.778,7.2219999999999995,5.849,11.079,10.939,7.914,6.115,5.795,8.511,12.149,10.186,9.43,5.293,3.803,0.1820967741935484,0.262263440860215,0.2626612903225806,0.23154838709677417,0.10024193548387096,22.58,48.781000000000006,32.57,28.712,18.645,0.025303481166198283,0.02922250942215661,0.09192140088296166,0.08651424710441705,0.04090426158685094,0.19466666666666665,0.1975,0.2096333333333333,0.193625,0.17968333333333333,0.23201041666666666,0.22306250000000002,18.688,18.96,25.156,23.235,21.562,22.273,21.414,0.205892290015239,0.2452983146250596,0.24531081068215282,0.20112026848370604,0.18123117616924048,0.24704785365514523,0.20511921116627202,0.19492934782608695,0.22753645833333333,107.601,43.687,0.21588994576733178,0.2265027044068598,0.2033440860215054,151.288,0.2189897516422442,151.288,151.288,22.944,31.163,38.664,35.555,22.962
AJVG,0.18073252688172042,0.2504905974246984,0.027,2.054,0.05475,0.0775,0.206,134.465,0.18073252688172045,4.337580645161291,0.09619354838709678,0.08658064516129033,0.0706774193548387,0.08938709677419354,0.0800967741935484,0.15596774193548388,0.642741935483871,0.32980645161290323,0.1552258064516129,0.12293548387096774,0.1553225806451613,0.20874193548387096,0.12296774193548386,0.14112903225806453,0.11445161290322581,0.08045161290322582,0.18829032258064515,0.32261290322580644,0.30316129032258066,0.18025806451612902,0.2165483870967742,0.20035483870967744,0.16503225806451613,0.10864516129032258,2.982,2.684,2.191,2.771,2.483,4.835,19.925,10.224,4.812,3.811,4.815,6.471,3.812,4.375,3.548,2.494,5.837,10.001,9.398,5.588,6.713,6.211,5.116,3.368,2.982,2.684,2.191,2.771,2.483,4.835,19.925,10.224,4.812,3.811,4.815,6.471,3.812,4.375,3.548,2.494,5.837,10.001,9.398,5.588,6.713,6.211,5.116,3.368,0.3126774193548387,0.1371774193548387,0.24858064516129033,0.1726451612903226,0.09648387096774193,38.772,25.515,30.823999999999998,21.407999999999998,17.946,0.1373247926307398,0.12201569830102256,0.09955539168882795,0.08079143559034029,0.029501990688265294,0.19589583333333335,0.20225,0.16889166666666666,0.19439166666666666,0.15936666666666666,0.184875,0.16434374999999998,18.806,19.416,20.267,23.326999999999998,19.124,17.748,15.777,0.23571889945739077,0.23599415693034262,0.2069043458541491,0.294214101880073,0.26420840810459695,0.2965144622371555,0.20021082720209557,0.1828623188405797,0.17460937499999998,100.94,33.525,0.24997098029840653,0.25253404418386577,0.18073252688172042,134.465,0.25049059742469837,134.465,134.465,29.343,26.775000000000002,33.938,23.521,20.887999999999998
ATF,0.1506948924731183,0.11868219742086518,0.051,1.176,0.077,0.1245,0.17,112.117,0.15069489247311826,3.6166774193548386,0.08800000000000001,0.08512903225806452,0.09367741935483871,0.09412903225806452,0.09641935483870967,0.09483870967741935,0.08764516129032258,0.14225806451612905,0.2085483870967742,0.19803225806451613,0.20793548387096775,0.25074193548387097,0.2822903225806451,0.2915806451612903,0.1964516129032258,0.1510967741935484,0.13522580645161292,0.12554838709677418,0.11399999999999999,0.15383870967741936,0.15870967741935485,0.1465806451612903,0.1152258064516129,0.09877419354838711,2.728,2.6390000000000002,2.904,2.918,2.989,2.94,2.717,4.41,6.465,6.139,6.446,7.773,8.751,9.039,6.09,4.684,4.192,3.892,3.534,4.769,4.92,4.544,3.572,3.0620000000000003,2.728,2.6390000000000002,2.904,2.918,2.989,2.94,2.717,4.41,6.465,6.139,6.446,7.773,8.751,9.039,6.09,4.684,4.192,3.892,3.534,4.769,4.92,4.544,3.572,3.0620000000000003,0.1591209677419355,0.23001612903225807,0.1321532258064516,0.12982258064516128,0.09203225806451613,19.731,42.783,16.387,16.098,17.118000000000002,0.07195581810538601,0.059252934523599095,0.014732957954442035,0.01389882643399763,0.0031440606996608156,0.15839583333333332,0.1371666666666667,0.1638666666666667,0.1551,0.156225,0.16311458333333334,0.11521875,15.206,13.168000000000001,19.664,18.612,18.747,15.659,11.061,0.11844407778105036,0.07130935816148895,0.12333638727387108,0.12818004669115976,0.1162478851348244,0.16456800672584965,0.07381316429800452,0.15470471014492754,0.13916666666666666,85.397,26.72,0.11455388787122461,0.12944825861300974,0.1506948924731183,112.117,0.11868219742086528,112.117,112.117,18.395,20.793,28.026,24.781,20.122
FJAG,0.35425543010752275,0.31097012831413906,0.068,3.791,0.181,0.2595,0.388,263.5660399999969,0.35425543010752275,8.502130322580548,0.1688709677419355,0.14996774193548387,0.16125806451612903,0.15219354838709678,0.15125806451612903,0.23683870967741935,0.26761290322580644,0.25996774193548383,0.23600387096773617,0.30119741935483296,0.5189070967741878,0.6147212903225633,0.5445277419354666,0.4074954838709504,0.4000438709677246,0.4620722580645045,0.4479354838709677,0.5108387096774194,0.7056451612903226,0.4659677419354839,0.39974193548387094,0.43948387096774194,0.26383870967741935,0.23574193548387096,5.235,4.649,4.999,4.718,4.689,7.342,8.296,8.059,7.316119999999821,9.337119999999821,16.08611999999982,19.05635999999946,16.880359999999463,12.632359999999462,12.401359999999462,14.32423999999964,13.886,15.836,21.875,14.445,12.392,13.624,8.179,7.308,5.235,4.649,4.999,4.718,4.689,7.342,8.296,8.059,7.316119999999821,9.337119999999821,16.08611999999982,19.05635999999946,16.880359999999463,12.632359999999462,12.401359999999462,14.32423999999964,13.886,15.836,21.875,14.445,12.392,13.624,8.179,7.308,0.26619548387096487,0.49129462365589954,0.5325967741935483,0.3347016129032258,0.17006451612903226,33.00823999999964,91.3807999999973,66.042,41.503,31.631999999999998,0.04952171134233696,0.1940399739589486,0.056025663425165705,0.04667562001916758,0.02371344218561699,0.3144791666666667,0.30032291666666666,0.3314416666666667,0.32698333333333335,0.4490923333333198,0.35060416666666666,0.39567666666665174,30.19,28.831,39.773,39.238,53.89107999999838,33.658,37.984959999998566,0.2289071969697794,0.19826141673062633,0.2043404144362754,0.22567761580296306,0.5399494547348308,0.2630166486292082,0.30803899272881996,0.34768673913043185,0.3731404166666592,191.92307999999838,71.64295999999857,0.3190100478039353,0.286555298881549,0.3542554301075228,263.566039999997,0.31097012831413917,263.566039999997,263.566039999997,38.254,65.59947999999929,60.335959999998565,55.433,43.9435999999991
FMB,0.17418682795698925,0.2108364263966546,0.01,1.809,0.051,0.1145,0.219,129.595,0.17418682795698925,4.180483870967742,0.08893548387096775,0.0744516129032258,0.08512903225806451,0.09083870967741935,0.08854838709677419,0.07541935483870968,0.10558064516129033,0.19222580645161289,0.29974193548387096,0.25661290322580643,0.25106451612903224,0.3349677419354839,0.4090967741935484,0.2766774193548387,0.11296774193548387,0.1420967741935484,0.20519354838709677,0.1368709677419355,0.17967741935483872,0.21506451612903224,0.16832258064516128,0.15858064516129033,0.13816129032258065,0.09425806451612903,2.757,2.308,2.639,2.816,2.745,2.338,3.273,5.959,9.292,7.955,7.7829999999999995,10.384,12.682,8.577,3.502,4.405,6.361,4.243,5.57,6.667,5.218,4.916,4.283,2.922,2.757,2.308,2.639,2.816,2.745,2.338,3.273,5.959,9.292,7.955,7.7829999999999995,10.384,12.682,8.577,3.502,4.405,6.361,4.243,5.57,6.667,5.218,4.916,4.283,2.922,0.21354032258064515,0.25447849462365596,0.18420161290322581,0.13983064516129032,0.08388709677419355,26.479,47.333000000000006,22.841,17.339000000000002,15.603000000000002,0.10486837805082344,0.13699273379239502,0.06961545263367877,0.021525487793124895,0.007510164881488358,0.15937500000000002,0.13751041666666666,0.18413333333333334,0.17908333333333332,0.1751333333333333,0.17451041666666667,0.20561458333333335,15.3,13.201,22.096,21.49,21.016,16.753,19.739,0.1703419625650894,0.12160678606338819,0.1996084374251663,0.2843872251658556,0.2133284812123279,0.21085535050768645,0.22008626872166415,0.16866485507246376,0.1900625,93.103,36.492,0.2090982670807382,0.21552010936167185,0.17418682795698925,129.595,0.2108364263966546,129.595,129.595,26.904,25.103,30.64,27.401,19.547
GPC,0.15996774193548385,0.1832244217598042,0.024,1.31,0.05975,0.0965,0.15675,119.01599999999999,0.15996774193548385,3.839225806451613,0.07635483870967742,0.07287096774193548,0.0677741935483871,0.07270967741935484,0.06812903225806452,0.1074516129032258,0.28461290322580646,0.21154838709677418,0.16222580645161291,0.10354838709677419,0.09732258064516129,0.12548387096774194,0.14896774193548387,0.3480322580645161,0.24087096774193548,0.20416129032258062,0.23751612903225805,0.17629032258064517,0.18112903225806448,0.3338709677419355,0.1908709677419355,0.1399032258064516,0.09729032258064516,0.09029032258064516,2.367,2.259,2.101,2.254,2.112,3.331,8.823,6.558,5.029,3.21,3.017,3.89,4.618,10.789,7.467,6.329,7.3629999999999995,5.465,5.614999999999999,10.35,5.917,4.337,3.016,2.799,2.367,2.259,2.101,2.254,2.112,3.331,8.823,6.558,5.029,3.21,3.017,3.89,4.618,10.789,7.467,6.329,7.3629999999999995,5.465,5.614999999999999,10.35,5.917,4.337,3.016,2.799,0.19048387096774191,0.19413978494623654,0.2322016129032258,0.12958870967741937,0.0775483870967742,23.62,36.11,28.793,16.069,14.424,0.0635415894621958,0.04160602145924823,0.059621284334144854,0.024375028611946313,0.01400534112447399,0.16820833333333332,0.12648958333333335,0.1821,0.14514166666666667,0.133075,0.21263541666666666,0.15702083333333333,16.148,12.143,21.852,17.417,15.969,20.413,15.074,0.1933767479989946,0.1141101033205411,0.21537243099712977,0.16122390588598098,0.15248860888714322,0.24492637432036451,0.16292251817911654,0.15132065217391305,0.184828125,83.529,35.487,0.17259831488834473,0.20932536021699294,0.15996774193548388,119.016,0.18322442175980416,119.016,119.016,19.403,29.966,25.196,27.05,17.401
JACL,0.09748655913978495,0.054984910025753786,0.036,0.798,0.063,0.09,0.124,72.53,0.09748655913978493,2.339677419354839,0.10080645161290322,0.06783870967741937,0.08706451612903225,0.07964516129032258,0.07206451612903225,0.07496774193548386,0.07706451612903226,0.08303225806451613,0.09064516129032259,0.09032258064516129,0.093,0.0974516129032258,0.12329032258064516,0.15980645161290322,0.12864516129032258,0.10916129032258064,0.09616129032258064,0.096,0.09106451612903226,0.07693548387096774,0.0882258064516129,0.12570967741935482,0.10867741935483871,0.12209677419354839,3.125,2.103,2.699,2.469,2.234,2.324,2.389,2.574,2.81,2.8,2.883,3.021,3.822,4.954,3.988,3.384,2.981,2.976,2.823,2.385,2.735,3.897,3.369,3.785,3.125,2.103,2.699,2.469,2.234,2.324,2.389,2.574,2.81,2.8,2.883,3.021,3.822,4.954,3.988,3.384,2.981,2.976,2.823,2.385,2.735,3.897,3.369,3.785,0.08526612903225807,0.11855913978494621,0.09004032258064515,0.11117741935483871,0.0803978494623656,10.573,22.052,11.165,13.786,14.953999999999999,0.005529011644936623,0.03266864317362234,0.003893893021242914,0.004325177610758796,0.005451870143961778,0.09857291666666666,0.09809375,0.0953,0.0941,0.09509166666666666,0.09554166666666668,0.10769791666666667,9.463,9.417,11.436,11.292,11.411,9.172,10.339,0.04030142867825869,0.05270715084312565,0.046181519822427276,0.0408513188538735,0.053982723011659024,0.054049863268080936,0.0881546631052095,0.09604891304347826,0.10161979166666667,53.019,19.511,0.04703606523268275,0.0731810222299201,0.09748655913978495,72.53,0.05498491002575378,72.53,72.53,11.877,16.486,16.083,16.642,11.442
JALG,0.2703844086021505,0.2830741834751464,0.062,1.806,0.087,0.151,0.327,201.166,0.27038440860215057,6.4892258064516115,0.10038709677419355,0.10170967741935484,0.09387096774193548,0.09335483870967742,0.09480645161290323,0.10822580645161291,0.25148387096774194,0.284258064516129,0.23690322580645162,0.219,0.18661290322580645,0.3805483870967742,0.5059354838709678,0.5504193548387096,0.566,0.2528709677419355,0.2777741935483871,0.21445161290322579,0.2266774193548387,0.45164516129032256,0.5297419354838709,0.38287096774193546,0.2223548387096774,0.15732258064516128,3.112,3.153,2.91,2.894,2.939,3.355,7.796,8.812,7.344,6.789,5.785,11.797,15.684000000000001,17.063,17.546,7.839,8.611,6.648,7.027,14.001,16.422,11.869,6.893,4.877,3.112,3.153,2.91,2.894,2.939,3.355,7.796,8.812,7.344,6.789,5.785,11.797,15.684000000000001,17.063,17.546,7.839,8.611,6.648,7.027,14.001,16.422,11.869,6.893,4.877,0.24791129032258064,0.40706451612903227,0.29263709677419353,0.32307258064516126,0.0987258064516129,30.741,75.714,36.287,40.061,18.363,0.06692358356532341,0.13379489049042653,0.14416141077380418,0.11941616470804986,0.007936783476822477,0.2908125,0.2686354166666667,0.3038,0.2682333333333334,0.29294166666666666,0.21258333333333335,0.2422291666666667,27.918,25.789,36.456,32.188,35.153,20.408,23.254,0.3125569695439958,0.2839134827369503,0.336636292275968,0.27021761331085986,0.2896064062105797,0.22529431822520823,0.22915843653483,0.2853333333333333,0.22740625,157.504,43.662,0.2988373801824554,0.22712570397416304,0.2703844086021505,201.166,0.2830741834751464,201.166,201.166,35.596,42.181,45.219,48.887,29.283
JLG,0.12036021505376344,0.11624894078948754,0.036,1.033,0.055,0.08,0.146,89.548,0.12036021505376343,2.888645161290323,0.07080645161290322,0.06167741935483871,0.05664516129032258,0.05845161290322581,0.05338709677419355,0.05535483870967742,0.05451612903225806,0.058193548387096776,0.18812903225806452,0.17174193548387096,0.1357741935483871,0.12783870967741937,0.19622580645161292,0.15706451612903224,0.19196774193548385,0.13145161290322582,0.10254838709677419,0.11825806451612902,0.12748387096774194,0.16548387096774192,0.18274193548387097,0.14016129032258065,0.14025806451612902,0.14248387096774193,2.195,1.9120000000000001,1.756,1.812,1.655,1.716,1.69,1.804,5.832,5.324,4.2090000000000005,3.963,6.083,4.869,5.951,4.075,3.179,3.666,3.952,5.13,5.665,4.345,4.348,4.417,2.195,1.9120000000000001,1.756,1.812,1.655,1.716,1.69,1.804,5.832,5.324,4.2090000000000005,3.963,6.083,4.869,5.951,4.075,3.179,3.666,3.952,5.13,5.665,4.345,4.348,4.417,0.11814516129032257,0.15672043010752687,0.12844354838709676,0.15141129032258063,0.05938709677419355,14.65,29.150000000000002,15.927,18.775,11.046,0.1011454488271537,0.05236500968912892,0.028930245459727662,0.05973161674963498,0.009835309442095446,0.12529166666666666,0.12461458333333332,0.15812500000000002,0.11423333333333334,0.09190000000000001,0.1175625,0.11,12.028,11.963,18.975,13.708,11.028,11.286,10.56,0.0927176718143131,0.10558412657728299,0.16739996699396276,0.07745920404520384,0.09968550546594024,0.13780159746228593,0.09413607172598609,0.12264855072463768,0.11378125,67.702,21.846,0.11573944248176661,0.11775782257449781,0.12036021505376344,89.548,0.1162489407894875,89.548,89.548,16.581,19.914,17.766,21.658,13.629
JMM,0.23052284946236562,0.22103965653211943,0.069,1.815,0.119,0.165,0.23325,171.50900000000001,0.23052284946236565,5.532548387096775,0.13061290322580646,0.11464516129032258,0.11529032258064516,0.11461290322580645,0.11196774193548388,0.10864516129032258,0.12448387096774194,0.19393548387096773,0.1452258064516129,0.22890322580645162,0.2676451612903226,0.4513870967741936,0.6076451612903225,0.4776774193548387,0.21161290322580645,0.21661290322580645,0.23070967741935483,0.19035483870967743,0.23790322580645162,0.29061290322580646,0.3091935483870968,0.2571935483870968,0.23293548387096774,0.16274193548387098,4.049,3.554,3.574,3.553,3.471,3.368,3.859,6.012,4.502,7.096,8.297,13.993,18.837,14.808,6.56,6.715,7.152,5.901,7.375,9.009,9.585,7.973,7.221,5.045,4.049,3.554,3.574,3.553,3.471,3.368,3.859,6.012,4.502,7.096,8.297,13.993,18.837,14.808,6.56,6.715,7.152,5.901,7.375,9.009,9.585,7.973,7.221,5.045,0.17313709677419353,0.3720967741935484,0.2373951612903226,0.24051612903225805,0.11596236559139783,21.468999999999998,69.21,29.437,29.823999999999998,21.569,0.0953201721182111,0.17465732982127408,0.0533187124139024,0.03277149811880358,0.003185974118522857,0.25986458333333334,0.22223958333333335,0.24284166666666665,0.20313333333333333,0.20897500000000002,0.2791666666666667,0.20659375,24.947,21.335,29.141,24.376,25.077,26.8,19.833,0.2637262783462256,0.19114572808209726,0.2680735191970253,0.18864175880558923,0.15444579492957575,0.2847852253214754,0.15756132160460404,0.22622463768115944,0.24288020833333335,124.876,46.633,0.21700144330701493,0.2324013751839496,0.23052284946236562,171.50900000000001,0.2210396565321194,171.50900000000001,171.50900000000001,24.283,39.159,36.349,40.443,31.275
LFZA,0.15808333333333333,0.18242586515172982,0.023,1.468,0.07875,0.093,0.19525,117.614,0.15808333333333338,3.7939999999999996,0.17487096774193547,0.12306451612903226,0.08935483870967742,0.068,0.07964516129032258,0.07687096774193548,0.06599999999999999,0.09387096774193548,0.08432258064516128,0.11222580645161291,0.18274193548387097,0.15580645161290324,0.15387096774193548,0.22864516129032258,0.20006451612903225,0.20719354838709678,0.262741935483871,0.2171290322580645,0.2192258064516129,0.16948387096774192,0.13706451612903225,0.1534193548387097,0.2792903225806451,0.2590967741935484,5.420999999999999,3.815,2.77,2.108,2.469,2.383,2.046,2.91,2.614,3.479,5.665,4.83,4.77,7.088,6.202,6.423,8.145,6.731,6.796,5.254,4.249,4.756,8.658,8.032,5.420999999999999,3.815,2.77,2.108,2.469,2.383,2.046,2.91,2.614,3.479,5.665,4.83,4.77,7.088,6.202,6.423,8.145,6.731,6.796,5.254,4.249,4.756,8.658,8.032,0.08910483870967742,0.18805376344086022,0.21714516129032257,0.20721774193548387,0.10196774193548387,11.049,34.978,26.926000000000002,25.694999999999997,18.965999999999998,0.044035469411439945,0.05430879663839908,0.06286272198666737,0.08081144453403556,0.03304090152426454,0.16522916666666668,0.19205208333333335,0.12578333333333333,0.14388333333333334,0.18533333333333332,0.13263541666666667,0.16647916666666665,15.862,18.437,15.094,17.266000000000002,22.24,12.733,15.982,0.19586324332992977,0.2529221377916289,0.10274723683813182,0.1301863036938517,0.24166409541759737,0.12746145917320026,0.17215195118919102,0.16104891304347826,0.14955729166666668,88.899,28.715,0.19191363037397138,0.15201676281555174,0.15808333333333333,117.614,0.18242586515172984,117.614,117.614,17.655,27.208,25.413,30.698,16.64
MANA,0.23576747311827956,0.19189297422521215,0.056,1.468,0.103,0.167,0.30625,175.411,0.2357674731182796,5.658419354838711,0.15535483870967742,0.11429032258064517,0.10516129032258063,0.11674193548387098,0.10303225806451613,0.09296774193548388,0.1534193548387097,0.15048387096774193,0.12603225806451612,0.2106451612903226,0.18348387096774194,0.21170967741935484,0.28383870967741937,0.460258064516129,0.32725806451612904,0.21687096774193548,0.23709677419354838,0.2320967741935484,0.2733548387096774,0.2934516129032258,0.5731290322580646,0.48703225806451617,0.3321612903225807,0.2185483870967742,4.816,3.543,3.26,3.619,3.194,2.882,4.756,4.665,3.907,6.53,5.688,6.563,8.799,14.267999999999999,10.145,6.723,7.35,7.195,8.474,9.097,17.767,15.098,10.297,6.775,4.816,3.543,3.26,3.619,3.194,2.882,4.756,4.665,3.907,6.53,5.688,6.563,8.799,14.267999999999999,10.145,6.723,7.35,7.195,8.474,9.097,17.767,15.098,10.297,6.775,0.16014516129032258,0.2805698924731183,0.259,0.4027177419354839,0.11459139784946236,19.858,52.18599999999999,32.116,49.937000000000005,21.314,0.03647622681102559,0.05004370144650298,0.025709129674265196,0.112286358015099,0.020061103513320914,0.21782291666666667,0.23354166666666668,0.2309166666666667,0.24414166666666667,0.272625,0.19960416666666667,0.241625,20.911,22.42,27.71,29.297,32.715,19.162,23.196,0.15468712019269337,0.16250673940140817,0.21196085667383208,0.19018404601475752,0.24177119757074028,0.14919485522149017,0.1925403717064089,0.24103804347826085,0.2206145833333333,133.053,42.358,0.19789644307018547,0.173071898614067,0.23576747311827956,175.411,0.19189297422521218,175.411,175.411,29.443,42.453,35.844,40.126,27.544999999999998
